sample	sample_number	replicate	prey_history	predator_history	time_days	ciliates_ml	bacteria_od	condition_prey_pred
HAMBI0436	436	A	anc	evo	48	27158.4	0.25	anc_evo
HAMBI0437	437	C	anc	evo	48	26781.2	0.252	anc_evo
HAMBI0438	438	E	anc	evo	48	46395.6	0.241	anc_evo
HAMBI0439	439	A	evo	anc	48	6789.6	0.333	evo_anc
HAMBI0440	440	C	evo	anc	48	15088	0.322	evo_anc
HAMBI0441	441	E	evo	anc	48	18482.8	0.283	evo_anc
HAMBI0442	442	A	evo	evo	48	19803	0.326	evo_evo
HAMBI0443	443	C	evo	evo	48	17917	0.278	evo_evo
HAMBI0444	444	E	evo	evo	48	20746	0.273	evo_evo
HAMBI0529	529	A	anc	anc	52	943	0.294	anc_anc
HAMBI0532	532	A	anc	evo	52	22254.8	0.233	anc_evo
HAMBI0533	533	C	anc	evo	52	21123.2	0.247	anc_evo
HAMBI0534	534	E	anc	evo	52	26026.8	0.232	anc_evo
HAMBI0535	535	A	evo	anc	52	6223.8	0.343	evo_anc
HAMBI0536	536	C	evo	anc	52	5469.4	0.331	evo_anc
HAMBI0537	537	E	evo	anc	52	6035.2	0.228	evo_anc
HAMBI0538	538	A	evo	evo	52	19048.6	0.247	evo_evo
HAMBI0539	539	C	evo	evo	52	18105.6	0.331	evo_evo
HAMBI0540	540	E	evo	evo	52	18294.2	0.231	evo_evo
HAMBI0541	541	A	anc	anc	56	9618.6	0.305	anc_anc
HAMBI0542	542	C	anc	anc	56	27158.4	0.227	anc_anc
HAMBI0543	543	E	anc	anc	56	9430	0.299	anc_anc
HAMBI0544	544	A	anc	evo	56	37154.2	0.262	anc_evo
HAMBI0545	545	C	anc	evo	56	51487.8	0.215	anc_evo
HAMBI0546	546	E	anc	evo	56	28667.2	0.18	anc_evo
HAMBI0547	547	A	evo	anc	56	10938.8	0.283	evo_anc
HAMBI0548	548	C	evo	anc	56	23009.2	0.294	evo_anc
HAMBI0549	549	E	evo	anc	56	17351.2	0.245	evo_anc
HAMBI0550	550	A	evo	evo	56	10561.6	0.334	evo_evo
HAMBI0551	551	C	evo	evo	56	26781.2	0.322	evo_evo
HAMBI0552	552	E	evo	evo	56	35834	0.254	evo_evo
HAMBI0553	553	A	anc	nopredator	44	NA	0.557	anc_nopredator
HAMBI0554	554	C	anc	nopredator	44	NA	0.581	anc_nopredator
HAMBI0555	555	E	anc	nopredator	44	NA	0.54	anc_nopredator
HAMBI0556	556	A	evo	nopredator	44	NA	0.592	evo_nopredator
HAMBI0557	557	C	evo	nopredator	44	NA	0.576	evo_nopredator
HAMBI0558	558	E	evo	nopredator	44	NA	0.556	evo_nopredator
HAMBI0559	559	NA	anc	nopredator	NA	NA	NA	inoculum_anc
HAMBI0601	601	A	anc	anc	60	12259	0.27	anc_anc
HAMBI0602	602	C	anc	anc	60	18482.8	0.242	anc_anc
HAMBI0603	603	E	anc	anc	60	16596.8	0.245	anc_anc
HAMBI0604	604	A	anc	evo	60	31307.6	0.325	anc_evo
HAMBI0605	605	C	anc	evo	60	42435	0.313	anc_evo
HAMBI0606	606	E	anc	evo	60	40549	0.311	anc_evo
HAMBI0607	607	A	evo	anc	60	7921.2	0.267	evo_anc
HAMBI0608	608	C	evo	anc	60	13390.6	0.304	evo_anc
HAMBI0609	609	E	evo	anc	60	12824.8	0.301	evo_anc
HAMBI0610	610	A	evo	evo	60	9807.2	0.246	evo_evo
HAMBI0611	611	C	evo	evo	60	29233	0.305	evo_evo
HAMBI0612	612	E	evo	evo	60	27912.8	0.231	evo_evo
HAMBI0643	643	A	anc	nopredator	60	NA	0.614	anc_nopredator
HAMBI0644	644	C	anc	nopredator	60	NA	0.579	anc_nopredator
HAMBI0645	645	E	anc	nopredator	60	NA	0.568	anc_nopredator
HAMBI0646	646	A	evo	nopredator	60	NA	0.627	evo_nopredator
HAMBI0647	647	C	evo	nopredator	60	NA	0.571	evo_nopredator
HAMBI0648	648	E	evo	nopredator	60	NA	0.575	evo_nopredator
HAMBI0650	650	C	anc	evo	40	36965.6	0.258	anc_evo
HAMBI0661	661	A	evo	nopredator	NA	NA	NA	inoculum_evo
HAMBI0662	662	C	evo	nopredator	NA	NA	NA	inoculum_evo
HAMBI0663	663	E	evo	nopredator	NA	NA	NA	inoculum_evo
HAMBI0679	679	E	anc	evo	32	41680.6	0.258	anc_evo
HAMBI0680	680	A	evo	evo	36	10184.4	0.288	evo_evo
HAMBI0690	690	A	anc	anc	32	26215.4	0.206	anc_anc
HAMBI0691	691	A	anc	evo	44	31307.6	0.273	anc_evo
HAMBI0692	692	A	anc	evo	36	20746	0.238	anc_evo
HAMBI0693	693	E	anc	anc	52	3017.6	0.249	anc_anc
HAMBI0702	702	A	anc	anc	36	27158.4	0.221	anc_anc
HAMBI0703	703	C	anc	anc	36	13013.4	0.196	anc_anc
HAMBI0704	704	A	anc	evo	32	38474.4	0.268	anc_evo
HAMBI0705	705	C	anc	anc	52	4149.2	0.284	anc_anc
HAMBI0714	714	C	evo	evo	36	30176	0.277	evo_evo
HAMBI0715	715	E	anc	anc	40	17728.4	0.193	anc_anc
HAMBI0716	716	C	evo	anc	36	11127.4	0.281	evo_anc
HAMBI0726	726	A	anc	evo	40	33005	0.247	anc_evo
HAMBI0727	727	E	evo	evo	36	31684.8	0.273	evo_evo
HAMBI0728	728	A	anc	anc	40	5469.4	0.306	anc_anc
HAMBI0740	740	A	anc	anc	44	3017.6	0.273	anc_anc
HAMBI0750	750	C	anc	anc	32	23197.8	0.176	anc_anc
HAMBI0751	751	E	anc	anc	32	36211.2	0.17	anc_anc
HAMBI0762	762	C	anc	evo	36	35456.8	0.245	anc_evo
HAMBI0763	763	E	anc	anc	36	8109.8	0.191	anc_anc
